method,RX,RZ,CZ,total
original,106,82,112,300
Q-L1,70,60,96,226
Q-L2,71,40,79,190
Q-L3,71,40,79,190
B-L2,79,78,110,267
B-L3,87,96,86,269
B-L4,121,167,85,373
Ours-DB-sweep,86,62,98,246
