method,RX,RY,RZ,RXX,total
original,82,71,86,61,300
Q-L1,36,43,63,61,203
Q-L2,41,48,58,60,207
Q-L3,41,48,58,60,207
B-L2,59,10,65,68,202
B-L3,54,9,72,59,194
B-L4,69,0,79,58,206
Ours,9,27,38,38,112
