depth,iterations,runs,best_end_len,mean_end_len,std_end_len,mean_runtime_sec,std_runtime_sec,eq_pass_rate
3,500,3,266,274,5.89,7.114,2.398,1.0
3,1000,3,246,250,4.32,17.29,2.077,0.667
3,1500,3,240,242.67,2.49,26.56,1.806,0.667
4,500,3,262,265.33,2.49,13.561,0.823,1.0
4,1000,3,238,243.33,4.11,21.312,0.765,1.0
4,1500,3,226,231.33,6.18,29.72,0.162,0.667
